words,links,capital_words,spam_word_count,is_spam
62,1,18,2,1
479,2,2,5,0
458,7,16,8,1
414,3,14,3,1
129,7,18,2,1
333,7,14,7,1
299,7,10,8,1
816,0,28,10,1
83,3,0,0,0
220,2,1,1,0
960,1,5,3,1
759,8,11,8,1
465,2,3,2,0
21,2,1,1,0
242,1,1,2,0
183,8,13,9,1
224,0,3,2,0
686,8,14,10,1
89,2,3,1,0
959,3,13,10,1
219,1,2,2,0
459,2,0,1,0
204,1,0,6,0
168,3,18,7,1
912,10,5,0,1
629,7,29,10,1
58,1,0,1,0
532,4,26,3,1
28,1,2,2,0
97,2,29,10,1
272,10,8,4,1
136,9,10,3,1
127,2,30,4,1
238,0,10,0,0
59,5,3,1,0
152,5,23,6,1
730,3,17,10,1
476,0,1,2,0
274,0,1,1,0
149,2,0,1,0
217,8,24,2,1
66,1,1,1,0
183,5,24,9,1
127,4,3,1,0
286,4,3,2,0
914,10,5,10,1
863,10,0,7,1
118,1,3,0,0
371,0,1,3,1
138,0,3,2,0
126,2,1,2,0
665,9,15,8,1
110,5,0,1,0
872,7,1,10,1
641,1,8,7,1
988,3,14,4,1
91,1,9,5,0
744,10,3,7,1
338,2,1,2,0
65,1,5,2,0
199,2,0,4,1
192,1,0,2,0
156,1,9,1,0
289,1,2,0,0
99,2,21,7,1
161,9,17,9,1
272,0,1,2,0
904,3,5,2,1
855,7,22,4,1
230,0,1,0,0
171,1,0,1,0
832,6,25,1,1
623,3,15,10,1
706,4,6,7,1
454,0,0,0,0
121,0,0,2,0
106,2,0,6,0
703,9,27,3,1
193,0,0,2,0
22,0,3,3,0
241,0,0,3,0
60,0,2,1,0
569,3,1,8,1
239,0,4,2,0
366,2,3,0,0
125,1,27,4,1
235,0,0,1,0
581,0,13,6,1
243,2,1,2,0
231,4,3,2,0
32,2,3,2,0
184,8,2,6,1
92,5,27,10,1
78,1,1,2,0
507,0,21,8,1
226,1,10,1,0
142,9,24,10,1
149,3,25,6,1
168,4,13,2,1
859,1,28,5,1
956,9,10,10,1
108,1,3,2,0
167,5,3,1,0
260,2,10,2,0
601,8,5,9,1
523,7,18,7,1
161,2,1,1,0
190,4,5,3,1
64,9,21,5,1
74,1,3,0,0
251,2,2,2,0
65,7,28,10,1
528,4,17,7,1
260,5,2,2,0
265,2,6,6,0
275,0,1,3,0
148,1,0,2,0
257,1,1,2,0
273,2,3,2,0
338,0,0,0,0
180,3,2,0,0
415,2,3,1,0
637,8,26,10,1
280,0,7,0,0
235,8,2,3,1
291,2,2,4,0
258,0,3,2,0
303,4,0,1,0
613,2,13,5,1
39,4,0,1,0
73,4,3,0,0
741,2,21,8,1
155,5,9,2,0
932,6,7,5,1
501,2,9,8,1
239,2,0,0,0
710,0,26,4,1
375,3,23,9,1
226,3,5,5,1
435,2,0,1,0
156,2,2,1,0
295,2,23,4,1
630,5,5,4,1
601,2,25,5,1
871,3,10,8,1
271,2,2,0,0
209,3,0,6,0
686,5,23,9,1
197,2,10,4,1
33,0,1,1,0
132,0,26,5,1
156,0,0,2,0
317,5,8,4,1
428,9,5,2,1
